item_topic,source_topic,age_segment,dt,Others,Top and Other,record_id,visits
Деньги,Еда,45+,9/24/2019 6:57:00 PM,Others,Другие,1040794,2
Деньги,Еда,45+,9/24/2019 6:58:00 PM,Others,Другие,1040795,3
Деньги,Здоровье,18-25,9/24/2019 6:31:00 PM,Others,Здоровье,1040796,2
Деньги,Здоровье,18-25,9/24/2019 6:54:00 PM,Others,Здоровье,1040797,3
Деньги,Здоровье,18-25,9/24/2019 6:55:00 PM,Others,Здоровье,1040798,5
Деньги,Здоровье,18-25,9/24/2019 6:56:00 PM,Others,Здоровье,1040799,3
Деньги,Здоровье,18-25,9/24/2019 6:57:00 PM,Others,Здоровье,1040800,7
Деньги,Здоровье,18-25,9/24/2019 6:58:00 PM,Others,Здоровье,1040801,6
Деньги,Здоровье,18-25,9/24/2019 6:59:00 PM,Others,Здоровье,1040802,6
Деньги,Здоровье,18-25,9/24/2019 7:00:00 PM,Others,Здоровье,1040803,1
Деньги,Здоровье,26-30,9/24/2019 6:54:00 PM,Others,Здоровье,1040804,3
Деньги,Здоровье,26-30,9/24/2019 6:55:00 PM,Others,Здоровье,1040805,2
Деньги,Здоровье,26-30,9/24/2019 6:57:00 PM,Others,Здоровье,1040806,2
Деньги,Здоровье,26-30,9/24/2019 6:58:00 PM,Others,Здоровье,1040807,1
Деньги,Здоровье,26-30,9/24/2019 7:00:00 PM,Others,Здоровье,1040808,1
Деньги,Здоровье,31-35,9/24/2019 6:56:00 PM,Others,Здоровье,1040809,3
Деньги,Здоровье,31-35,9/24/2019 6:57:00 PM,Others,Здоровье,1040810,4
Деньги,Здоровье,31-35,9/24/2019 6:58:00 PM,Others,Здоровье,1040811,3
Деньги,Здоровье,31-35,9/24/2019 6:59:00 PM,Others,Здоровье,1040812,1
Деньги,Здоровье,36-40,9/24/2019 6:33:00 PM,Others,Здоровье,1040813,1
Деньги,Здоровье,36-40,9/24/2019 6:57:00 PM,Others,Здоровье,1040814,2
Деньги,Здоровье,36-40,9/24/2019 6:59:00 PM,Others,Здоровье,1040815,3
Деньги,Здоровье,41-45,9/24/2019 6:55:00 PM,Others,Здоровье,1040816,1
Деньги,Здоровье,41-45,9/24/2019 6:56:00 PM,Others,Здоровье,1040817,2
Деньги,Здоровье,41-45,9/24/2019 7:00:00 PM,Others,Здоровье,1040818,1
Деньги,Здоровье,45+,9/24/2019 6:59:00 PM,Others,Здоровье,1040819,1
Деньги,Здоровье,45+,9/24/2019 7:00:00 PM,Others,Здоровье,1040820,1
Деньги,Знаменитости,18-25,9/24/2019 6:28:00 PM,Others,Знаменитости,1040821,1
Деньги,Знаменитости,18-25,9/24/2019 6:29:00 PM,Others,Знаменитости,1040822,3
Деньги,Знаменитости,18-25,9/24/2019 6:30:00 PM,Others,Знаменитости,1040823,1
Деньги,Знаменитости,18-25,9/24/2019 6:31:00 PM,Others,Знаменитости,1040824,2
Деньги,Знаменитости,18-25,9/24/2019 6:32:00 PM,Others,Знаменитости,1040825,2
Деньги,Знаменитости,18-25,9/24/2019 6:33:00 PM,Others,Знаменитости,1040826,2
Деньги,Знаменитости,18-25,9/24/2019 6:52:00 PM,Others,Знаменитости,1040827,1
Деньги,Знаменитости,18-25,9/24/2019 6:53:00 PM,Others,Знаменитости,1040828,2
Деньги,Знаменитости,18-25,9/24/2019 6:54:00 PM,Others,Знаменитости,1040829,7
Деньги,Знаменитости,18-25,9/24/2019 6:55:00 PM,Others,Знаменитости,1040830,23
Деньги,Знаменитости,18-25,9/24/2019 6:56:00 PM,Others,Знаменитости,1040831,38
Деньги,Знаменитости,18-25,9/24/2019 6:57:00 PM,Others,Знаменитости,1040832,42
Деньги,Знаменитости,18-25,9/24/2019 6:58:00 PM,Others,Знаменитости,1040833,43
Деньги,Знаменитости,18-25,9/24/2019 6:59:00 PM,Others,Знаменитости,1040834,44
Деньги,Знаменитости,18-25,9/24/2019 7:00:00 PM,Others,Знаменитости,1040835,14
Деньги,Знаменитости,26-30,9/24/2019 6:31:00 PM,Others,Знаменитости,1040836,3
Деньги,Знаменитости,26-30,9/24/2019 6:32:00 PM,Others,Знаменитости,1040837,3
Деньги,Знаменитости,26-30,9/24/2019 6:54:00 PM,Others,Знаменитости,1040838,5
Деньги,Знаменитости,26-30,9/24/2019 6:55:00 PM,Others,Знаменитости,1040839,4
Деньги,Знаменитости,26-30,9/24/2019 6:56:00 PM,Others,Знаменитости,1040840,13
Деньги,Знаменитости,26-30,9/24/2019 6:57:00 PM,Others,Знаменитости,1040841,13
Деньги,Знаменитости,26-30,9/24/2019 6:58:00 PM,Others,Знаменитости,1040842,21
Деньги,Знаменитости,26-30,9/24/2019 6:59:00 PM,Others,Знаменитости,1040843,12
Деньги,Знаменитости,26-30,9/24/2019 7:00:00 PM,Others,Знаменитости,1040844,4
Деньги,Знаменитости,31-35,9/24/2019 6:29:00 PM,Others,Знаменитости,1040845,2
Деньги,Знаменитости,31-35,9/24/2019 6:31:00 PM,Others,Знаменитости,1040846,4
Деньги,Знаменитости,31-35,9/24/2019 6:33:00 PM,Others,Знаменитости,1040847,1
Деньги,Знаменитости,31-35,9/24/2019 6:52:00 PM,Others,Знаменитости,1040848,1
Деньги,Знаменитости,31-35,9/24/2019 6:54:00 PM,Others,Знаменитости,1040849,7
Деньги,Знаменитости,31-35,9/24/2019 6:55:00 PM,Others,Знаменитости,1040850,15
Деньги,Знаменитости,31-35,9/24/2019 6:56:00 PM,Others,Знаменитости,1040851,24
Деньги,Знаменитости,31-35,9/24/2019 6:57:00 PM,Others,Знаменитости,1040852,24
Деньги,Знаменитости,31-35,9/24/2019 6:58:00 PM,Others,Знаменитости,1040853,24
Деньги,Знаменитости,31-35,9/24/2019 6:59:00 PM,Others,Знаменитости,1040854,20
Деньги,Знаменитости,31-35,9/24/2019 7:00:00 PM,Others,Знаменитости,1040855,8
Деньги,Знаменитости,36-40,9/24/2019 6:28:00 PM,Others,Знаменитости,1040856,1
Деньги,Знаменитости,36-40,9/24/2019 6:29:00 PM,Others,Знаменитости,1040857,3
